код	було	стало	камінь було	камінь стало	назва
052	109000	178500	labradorite	labradorite	Меморіальний комплекс — горбулівський лабрадорит, стандартне оздоблення
053	98000	134500	gabbro	Лезниківський	Меморіальний комплекс — лезниківський граніт, проста форма
054	159000	300000	gabbro	gabbro	Меморіальний комплекс — букинське габро, елітне оздоблення
055	112000	183500	labradorite	labradorite	Меморіальний комплекс — лабрадорит, стандартне оздоблення
056	106000	173500	labradorite	labradorite	Меморіальний комплекс — горбулівський лабрадорит, стандартне оздоблення
057	175000	267500	gabbro	gabbro	Військовий пам'ятник — головинське габро, стандартне оздоблення
058	99000	147000	gabbro	gabbro	Меморіальний комплекс — букинське габро, базове оздоблення
059	129000	222000	labradorite	Покостівський	Меморіальний комплекс — покостівський граніт, складне різьблення
060	143000	245000	labradorite	labradorite	Меморіальний комплекс — горбулівський лабрадорит, складне різьблення
061	17500	20500	Капустинський	Капустинський	Одинарний пам'ятник — капустинський граніт, проста форма
062	22000	26000	Капустинський	Межиріцький	Одинарний пам'ятник — межиріцький граніт, базове оздоблення
063	26500	33000	Лезниківський	Лезниківський	Одинарний пам'ятник — лезниківський граніт, стандартне оздоблення
064	27500	32500	Покостівський	Покостівський	Одинарний пам'ятник — покостівський граніт, складне різьблення
065	35500	42000	gabbro	gabbro	Одинарний пам'ятник — головинське габро, елітне оздоблення
066	18000	20000	gabbro	gabbro	Одинарний пам'ятник — букинське габро, проста форма
067	21000	24000	labradorite	labradorite	Одинарний пам'ятник — добринський лабрадорит, базове оздоблення
068	26000	30500	labradorite	labradorite	Одинарний пам'ятник — горбулівський лабрадорит, стандартне оздоблення
069	32500	39000	gabbro	Берестовецький	Одинарний пам'ятник — берестовецький базальт, складне різьблення
070	38000	48000	Капустинський	Капустинський	Одинарний пам'ятник — капустинський граніт, елітне оздоблення
071	18000	21500	Капустинський	Межиріцький	Одинарний пам'ятник — межиріцький граніт, проста форма
072	22500	27500	Лезниківський	Лезниківський	Одинарний пам'ятник — лезниківський граніт, базове оздоблення
073	23000	26000	Покостівський	Покостівський	Одинарний пам'ятник — покостівський граніт, стандартне оздоблення
074	30500	37500	Покостівський	Танський	Одинарний пам'ятник — танський граніт, складне різьблення
075	38500	48000	Покостівський	Софіївський	Одинарний пам'ятник — софіївський граніт, елітне оздоблення
076	17500	20000	Покостівський	Корнинський	Одинарний пам'ятник — корнинський граніт, проста форма
077	29000	32000	gabbro	gabbro	Подвійний пам'ятник — головинське габро, проста форма
078	38000	42000	gabbro	gabbro	Подвійний пам'ятник — букинське габро, базове оздоблення
079	43000	53500	labradorite	labradorite	Подвійний пам'ятник — добринський лабрадорит, стандартне оздоблення
080	53500	66000	labradorite	labradorite	Подвійний пам'ятник — горбулівський лабрадорит, складне різьблення
081	69500	77000	gabbro	Берестовецький	Подвійний пам'ятник — берестовецький базальт, елітне оздоблення
082	31500	38000	Дідковицький	Дідковицький	Подвійний пам'ятник — дідковицький граніт, проста форма
083	40500	48000	Дідковицький	Маславський	Подвійний пам'ятник — маславський граніт, базове оздоблення
084	44000	56000	Капустинський	Капустинський	Подвійний пам'ятник — капустинський граніт, стандартне оздоблення
085	53000	68000	Капустинський	Межиріцький	Подвійний пам'ятник — межиріцький граніт, складне різьблення
086	68000	82500	Лезниківський	Лезниківський	Подвійний пам'ятник — лезниківський граніт, елітне оздоблення
087	28000	30000	Покостівський	Покостівський	Подвійний пам'ятник — покостівський граніт, проста форма
088	37500	43000	Покостівський	Танський	Подвійний пам'ятник — танський граніт, базове оздоблення
089	28500	40000	Покостівський	Софіївський	Європейський пам'ятник — софіївський граніт, проста форма
090	34000	48500	Покостівський	Корнинський	Європейський пам'ятник — корнинський граніт, базове оздоблення
091	46000	77500	marble	marble	Європейський пам'ятник — білий мармур, стандартне оздоблення
092	50500	78000	Дідковицький	Дідковицький	Європейський пам'ятник — дідковицький граніт, складне різьблення
093	67500	89500	Дідковицький	Маславський	Європейський пам'ятник — маславський граніт, елітне оздоблення
094	26500	35500	gabbro	gabbro	Європейський пам'ятник — головинське габро, проста форма
095	35500	48000	gabbro	gabbro	Європейський пам'ятник — букинське габро, базове оздоблення
096	40000	58500	labradorite	labradorite	Європейський пам'ятник — добринський лабрадорит, стандартне оздоблення
097	49500	72500	labradorite	labradorite	Європейський пам'ятник — горбулівський лабрадорит, складне різьблення
098	65500	82500	gabbro	Берестовецький	Європейський пам'ятник — берестовецький базальт, елітне оздоблення
099	32000	49000	marble	marble	Європейський пам'ятник — білий мармур, проста форма
100	36500	56000	Лезниківський	Токівський	Європейський пам'ятник — токівський граніт, базове оздоблення
101	23500	27000	Капустинський	Капустинський	Хрест гранітний — капустинський граніт, проста форма
102	29000	35500	Капустинський	Межиріцький	Хрест гранітний — межиріцький граніт, базове оздоблення
103	35000	41500	Лезниківський	Лезниківський	Хрест гранітний — лезниківський граніт, стандартне оздоблення
104	37000	45500	Покостівський	Покостівський	Хрест гранітний — покостівський граніт, складне різьблення
105	51000	64500	Покостівський	Танський	Хрест гранітний — танський граніт, елітне оздоблення
106	24000	27500	Покостівський	Софіївський	Хрест гранітний — софіївський граніт, проста форма
107	28500	33500	Покостівський	Корнинський	Хрест гранітний — корнинський граніт, базове оздоблення
108	38000	40500	marble	gabbro	Хрест гранітний — габро, стандартне оздоблення
109	42000	59000	Дідковицький	Дідковицький	Хрест гранітний — дідковицький граніт, складне різьблення
110	56000	73000	Дідковицький	Маславський	Хрест гранітний — маславський граніт, елітне оздоблення
111	25000	30500	Лезниківський	Токівський	Хрест гранітний — токівський граніт, проста форма
112	27000	30500	gabbro	gabbro	Хрест гранітний — головинське габро, базове оздоблення
113	27000	36000	marble	marble	Дитячий пам'ятник — білий мармур, проста форма
114	33000	42500	marble	marble	Дитячий пам'ятник — білий мармур, базове оздоблення
115	31000	34000	Покостівський	Покостівський	Дитячий пам'ятник — покостівський граніт, стандартне оздоблення
116	41500	46000	Покостівський	Танський	Дитячий пам'ятник — танський граніт, складне різьблення
117	52000	58500	Покостівський	Софіївський	Дитячий пам'ятник — софіївський граніт, елітне оздоблення
118	23500	27500	Покостівський	Корнинський	Дитячий пам'ятник — корнинський граніт, проста форма
119	29000	33000	Капустинський	Капустинський	Дитячий пам'ятник — капустинський граніт, базове оздоблення
120	34500	42000	Капустинський	Межиріцький	Дитячий пам'ятник — межиріцький граніт, стандартне оздоблення
121	43000	51000	Лезниківський	Лезниківський	Дитячий пам'ятник — лезниківський граніт, складне різьблення
122	53000	62500	Дідковицький	Дідковицький	Дитячий пам'ятник — дідковицький граніт, елітне оздоблення
