type,deposit,material,color,size,size_label,complexity,price
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1200x600x80,Преміум,"Елітна, скульптура й позолота",42500
Пам'ятник одинарний,Корнинський,granite,grey,800x450x80,Економ,"Проста форма, гравіювання напису",16000
Пам'ятник одинарний,Корнинський,granite,grey,800x450x80,Економ,"Базова, портрет і напис",19000
Пам'ятник одинарний,Корнинський,granite,grey,800x450x80,Економ,"Стандартна, портрет і орнамент",22500
Пам'ятник одинарний,Корнинський,granite,grey,800x450x80,Економ,"Складна, різьблення й декор",27000
Пам'ятник одинарний,Корнинський,granite,grey,800x450x80,Економ,"Елітна, скульптура й позолота",34000
Пам'ятник одинарний,Корнинський,granite,grey,1000x500x80,Стандарт,"Проста форма, гравіювання напису",17500
Пам'ятник одинарний,Корнинський,granite,grey,1000x500x80,Стандарт,"Базова, портрет і напис",21000
Пам'ятник одинарний,Корнинський,granite,grey,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",25000
Пам'ятник одинарний,Корнинський,granite,grey,1000x500x80,Стандарт,"Складна, різьблення й декор",30000
Пам'ятник одинарний,Корнинський,granite,grey,1000x500x80,Стандарт,"Елітна, скульптура й позолота",37500
Пам'ятник одинарний,Корнинський,granite,grey,1000x600x80,Збільшений,"Проста форма, гравіювання напису",18500
Пам'ятник одинарний,Корнинський,granite,grey,1000x600x80,Збільшений,"Базова, портрет і напис",22500
Пам'ятник одинарний,Корнинський,granite,grey,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",26500
Пам'ятник одинарний,Корнинський,granite,grey,1000x600x80,Збільшений,"Складна, різьблення й декор",32000
Пам'ятник одинарний,Корнинський,granite,grey,1000x600x80,Збільшений,"Елітна, скульптура й позолота",40000
Пам'ятник одинарний,Корнинський,granite,grey,1200x600x80,Преміум,"Проста форма, гравіювання напису",20000
Пам'ятник одинарний,Корнинський,granite,grey,1200x600x80,Преміум,"Базова, портрет і напис",24500
Пам'ятник одинарний,Корнинський,granite,grey,1200x600x80,Преміум,"Стандартна, портрет і орнамент",28500
Пам'ятник одинарний,Корнинський,granite,grey,1200x600x80,Преміум,"Складна, різьблення й декор",34500
Пам'ятник одинарний,Корнинський,granite,grey,1200x600x80,Преміум,"Елітна, скульптура й позолота",43000
Пам'ятник одинарний,Капустинський,granite,red,800x450x80,Економ,"Проста форма, гравіювання напису",16000
Пам'ятник одинарний,Капустинський,granite,red,800x450x80,Економ,"Базова, портрет і напис",19500
Пам'ятник одинарний,Капустинський,granite,red,800x450x80,Економ,"Стандартна, портрет і орнамент",23000
Пам'ятник одинарний,Капустинський,granite,red,800x450x80,Економ,"Складна, різьблення й декор",27500
Пам'ятник одинарний,Капустинський,granite,red,800x450x80,Економ,"Елітна, скульптура й позолота",34500
Пам'ятник одинарний,Капустинський,granite,red,1000x500x80,Стандарт,"Проста форма, гравіювання напису",17500
Пам'ятник одинарний,Капустинський,granite,red,1000x500x80,Стандарт,"Базова, портрет і напис",21500
Пам'ятник одинарний,Капустинський,granite,red,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",25500
Пам'ятник одинарний,Капустинський,granite,red,1000x500x80,Стандарт,"Складна, різьблення й декор",30500
Пам'ятник одинарний,Капустинський,granite,red,1000x500x80,Стандарт,"Елітна, скульптура й позолота",38000
Пам'ятник одинарний,Капустинський,granite,red,1000x600x80,Збільшений,"Проста форма, гравіювання напису",19000
Пам'ятник одинарний,Капустинський,granite,red,1000x600x80,Збільшений,"Базова, портрет і напис",23000
Пам'ятник одинарний,Капустинський,granite,red,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",27000
Пам'ятник одинарний,Капустинський,granite,red,1000x600x80,Збільшений,"Складна, різьблення й декор",32500
Пам'ятник одинарний,Капустинський,granite,red,1000x600x80,Збільшений,"Елітна, скульптура й позолота",40500
Пам'ятник одинарний,Капустинський,granite,red,1200x600x80,Преміум,"Проста форма, гравіювання напису",20500
Пам'ятник одинарний,Капустинський,granite,red,1200x600x80,Преміум,"Базова, портрет і напис",25000
Пам'ятник одинарний,Капустинський,granite,red,1200x600x80,Преміум,"Стандартна, портрет і орнамент",29000
Пам'ятник одинарний,Капустинський,granite,red,1200x600x80,Преміум,"Складна, різьблення й декор",35000
Пам'ятник одинарний,Капустинський,granite,red,1200x600x80,Преміум,"Елітна, скульптура й позолота",44000
Пам'ятник одинарний,Танський,granite,grey,800x450x80,Економ,"Проста форма, гравіювання напису",16000
Пам'ятник одинарний,Танський,granite,grey,800x450x80,Економ,"Базова, портрет і напис",19500
Пам'ятник одинарний,Танський,granite,grey,800x450x80,Економ,"Стандартна, портрет і орнамент",23000
Пам'ятник одинарний,Танський,granite,grey,800x450x80,Економ,"Складна, різьблення й декор",27500
Пам'ятник одинарний,Танський,granite,grey,800x450x80,Економ,"Елітна, скульптура й позолота",34500
Пам'ятник одинарний,Танський,granite,grey,1000x500x80,Стандарт,"Проста форма, гравіювання напису",18000
Пам'ятник одинарний,Танський,granite,grey,1000x500x80,Стандарт,"Базова, портрет і напис",21500
Пам'ятник одинарний,Танський,granite,grey,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",25500
Пам'ятник одинарний,Танський,granite,grey,1000x500x80,Стандарт,"Складна, різьблення й декор",30500
Пам'ятник одинарний,Танський,granite,grey,1000x500x80,Стандарт,"Елітна, скульптура й позолота",38000
Пам'ятник одинарний,Танський,granite,grey,1000x600x80,Збільшений,"Проста форма, гравіювання напису",19000
Пам'ятник одинарний,Танський,granite,grey,1000x600x80,Збільшений,"Базова, портрет і напис",23000
Пам'ятник одинарний,Танський,granite,grey,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",27000
Пам'ятник одинарний,Танський,granite,grey,1000x600x80,Збільшений,"Складна, різьблення й декор",32500
Пам'ятник одинарний,Танський,granite,grey,1000x600x80,Збільшений,"Елітна, скульптура й позолота",41000
Пам'ятник одинарний,Танський,granite,grey,1200x600x80,Преміум,"Проста форма, гравіювання напису",20500
Пам'ятник одинарний,Танський,granite,grey,1200x600x80,Преміум,"Базова, портрет і напис",25000
Пам'ятник одинарний,Танський,granite,grey,1200x600x80,Преміум,"Стандартна, портрет і орнамент",29500
Пам'ятник одинарний,Танський,granite,grey,1200x600x80,Преміум,"Складна, різьблення й декор",35000
Пам'ятник одинарний,Танський,granite,grey,1200x600x80,Преміум,"Елітна, скульптура й позолота",44000
Пам'ятник одинарний,Софіївський,granite,grey,800x450x80,Економ,"Проста форма, гравіювання напису",16000
Пам'ятник одинарний,Софіївський,granite,grey,800x450x80,Економ,"Базова, портрет і напис",19500
Пам'ятник одинарний,Софіївський,granite,grey,800x450x80,Економ,"Стандартна, портрет і орнамент",23000
Пам'ятник одинарний,Софіївський,granite,grey,800x450x80,Економ,"Складна, різьблення й декор",27500
Пам'ятник одинарний,Софіївський,granite,grey,800x450x80,Економ,"Елітна, скульптура й позолота",34500
Пам'ятник одинарний,Софіївський,granite,grey,1000x500x80,Стандарт,"Проста форма, гравіювання напису",18000
Пам'ятник одинарний,Софіївський,granite,grey,1000x500x80,Стандарт,"Базова, портрет і напис",21500
Пам'ятник одинарний,Софіївський,granite,grey,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",25500
Пам'ятник одинарний,Софіївський,granite,grey,1000x500x80,Стандарт,"Складна, різьблення й декор",30500
Пам'ятник одинарний,Софіївський,granite,grey,1000x500x80,Стандарт,"Елітна, скульптура й позолота",38500
Пам'ятник одинарний,Софіївський,granite,grey,1000x600x80,Збільшений,"Проста форма, гравіювання напису",19000
Пам'ятник одинарний,Софіївський,granite,grey,1000x600x80,Збільшений,"Базова, портрет і напис",23000
Пам'ятник одинарний,Софіївський,granite,grey,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",27500
Пам'ятник одинарний,Софіївський,granite,grey,1000x600x80,Збільшений,"Складна, різьблення й декор",33000
Пам'ятник одинарний,Софіївський,granite,grey,1000x600x80,Збільшений,"Елітна, скульптура й позолота",41000
Пам'ятник одинарний,Софіївський,granite,grey,1200x600x80,Преміум,"Проста форма, гравіювання напису",20500
Пам'ятник одинарний,Софіївський,granite,grey,1200x600x80,Преміум,"Базова, портрет і напис",25000
Пам'ятник одинарний,Софіївський,granite,grey,1200x600x80,Преміум,"Стандартна, портрет і орнамент",29500
Пам'ятник одинарний,Софіївський,granite,grey,1200x600x80,Преміум,"Складна, різьблення й декор",35500
Пам'ятник одинарний,Софіївський,granite,grey,1200x600x80,Преміум,"Елітна, скульптура й позолота",44000
Пам'ятник одинарний,Межиріченський,granite,red,800x450x80,Економ,"Проста форма, гравіювання напису",16000
Пам'ятник одинарний,Межиріченський,granite,red,800x450x80,Економ,"Базова, портрет і напис",19500
Пам'ятник одинарний,Межиріченський,granite,red,800x450x80,Економ,"Стандартна, портрет і орнамент",23000
Пам'ятник одинарний,Межиріченський,granite,red,800x450x80,Економ,"Складна, різьблення й декор",28000
Пам'ятник одинарний,Межиріченський,granite,red,800x450x80,Економ,"Елітна, скульптура й позолота",34500
Пам'ятник одинарний,Межиріченський,granite,red,1000x500x80,Стандарт,"Проста форма, гравіювання напису",18000
Пам'ятник одинарний,Межиріченський,granite,red,1000x500x80,Стандарт,"Базова, портрет і напис",22000
Пам'ятник одинарний,Межиріченський,granite,red,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",25500
Пам'ятник одинарний,Межиріченський,granite,red,1000x500x80,Стандарт,"Складна, різьблення й декор",31000
Пам'ятник одинарний,Межиріченський,granite,red,1000x500x80,Стандарт,"Елітна, скульптура й позолота",38500
Пам'ятник одинарний,Межиріченський,granite,red,1000x600x80,Збільшений,"Проста форма, гравіювання напису",19500
Пам'ятник одинарний,Межиріченський,granite,red,1000x600x80,Збільшений,"Базова, портрет і напис",23500
Пам'ятник одинарний,Межиріченський,granite,red,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",27500
Пам'ятник одинарний,Межиріченський,granite,red,1000x600x80,Збільшений,"Складна, різьблення й декор",33000
Пам'ятник одинарний,Межиріченський,granite,red,1000x600x80,Збільшений,"Елітна, скульптура й позолота",41500
Пам'ятник одинарний,Межиріченський,granite,red,1200x600x80,Преміум,"Проста форма, гравіювання напису",21000
Пам'ятник одинарний,Межиріченський,granite,red,1200x600x80,Преміум,"Базова, портрет і напис",25000
Пам'ятник одинарний,Межиріченський,granite,red,1200x600x80,Преміум,"Стандартна, портрет і орнамент",29500
Пам'ятник одинарний,Межиріченський,granite,red,1200x600x80,Преміум,"Складна, різьблення й декор",35500
Пам'ятник одинарний,Межиріченський,granite,red,1200x600x80,Преміум,"Елітна, скульптура й позолота",44500
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,800x450x80,Економ,"Проста форма, гравіювання напису",16000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,800x450x80,Економ,"Базова, портрет і напис",19500
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,800x450x80,Економ,"Стандартна, портрет і орнамент",23000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,800x450x80,Економ,"Складна, різьблення й декор",28000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,800x450x80,Економ,"Елітна, скульптура й позолота",35000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1000x500x80,Стандарт,"Проста форма, гравіювання напису",18000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1000x500x80,Стандарт,"Базова, портрет і напис",22000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",26000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1000x500x80,Стандарт,"Складна, різьблення й декор",31000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1000x500x80,Стандарт,"Елітна, скульптура й позолота",38500
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1000x600x80,Збільшений,"Проста форма, гравіювання напису",19500
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1000x600x80,Збільшений,"Базова, портрет і напис",23500
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",27500
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1000x600x80,Збільшений,"Складна, різьблення й декор",33000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1000x600x80,Збільшений,"Елітна, скульптура й позолота",41500
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1200x600x80,Преміум,"Проста форма, гравіювання напису",21000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1200x600x80,Преміум,"Базова, портрет і напис",25500
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1200x600x80,Преміум,"Стандартна, портрет і орнамент",30000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1200x600x80,Преміум,"Складна, різьблення й декор",36000
Пам'ятник одинарний,Лабрадорит (Горбулівський),labradorite,black,1200x600x80,Преміум,"Елітна, скульптура й позолота",44500
Пам'ятник одинарний,Габро (Букинське),gabbro,black,800x450x80,Економ,"Проста форма, гравіювання напису",16500
Пам'ятник одинарний,Габро (Букинське),gabbro,black,800x450x80,Економ,"Базова, портрет і напис",20000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,800x450x80,Економ,"Стандартна, портрет і орнамент",23500
Пам'ятник одинарний,Габро (Букинське),gabbro,black,800x450x80,Економ,"Складна, різьблення й декор",28000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,800x450x80,Економ,"Елітна, скульптура й позолота",35000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1000x500x80,Стандарт,"Проста форма, гравіювання напису",18000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1000x500x80,Стандарт,"Базова, портрет і напис",22000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",26000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1000x500x80,Стандарт,"Складна, різьблення й декор",31000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1000x500x80,Стандарт,"Елітна, скульптура й позолота",39000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1000x600x80,Збільшений,"Проста форма, гравіювання напису",19500
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1000x600x80,Збільшений,"Базова, портрет і напис",23500
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",27500
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1000x600x80,Збільшений,"Складна, різьблення й декор",33500
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1000x600x80,Збільшений,"Елітна, скульптура й позолота",41500
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1200x600x80,Преміум,"Проста форма, гравіювання напису",21000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1200x600x80,Преміум,"Базова, портрет і напис",25500
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1200x600x80,Преміум,"Стандартна, портрет і орнамент",30000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1200x600x80,Преміум,"Складна, різьблення й декор",36000
Пам'ятник одинарний,Габро (Букинське),gabbro,black,1200x600x80,Преміум,"Елітна, скульптура й позолота",45000
Пам'ятник одинарний,Дідковицький,granite,green,800x450x80,Економ,"Проста форма, гравіювання напису",16500
Пам'ятник одинарний,Дідковицький,granite,green,800x450x80,Економ,"Базова, портрет і напис",20000
Пам'ятник одинарний,Дідковицький,granite,green,800x450x80,Економ,"Стандартна, портрет і орнамент",23500
Пам'ятник одинарний,Дідковицький,granite,green,800x450x80,Економ,"Складна, різьблення й декор",28000
Пам'ятник одинарний,Дідковицький,granite,green,800x450x80,Економ,"Елітна, скульптура й позолота",35500
Пам'ятник одинарний,Дідковицький,granite,green,1000x500x80,Стандарт,"Проста форма, гравіювання напису",18500
Пам'ятник одинарний,Дідковицький,granite,green,1000x500x80,Стандарт,"Базова, портрет і напис",22500
Пам'ятник одинарний,Дідковицький,granite,green,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",26000
Пам'ятник одинарний,Дідковицький,granite,green,1000x500x80,Стандарт,"Складна, різьблення й декор",31500
Пам'ятник одинарний,Дідковицький,granite,green,1000x500x80,Стандарт,"Елітна, скульптура й позолота",39500
Пам'ятник одинарний,Дідковицький,granite,green,1000x600x80,Збільшений,"Проста форма, гравіювання напису",19500
Пам'ятник одинарний,Дідковицький,granite,green,1000x600x80,Збільшений,"Базова, портрет і напис",24000
Пам'ятник одинарний,Дідковицький,granite,green,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",28000
Пам'ятник одинарний,Дідковицький,granite,green,1000x600x80,Збільшений,"Складна, різьблення й декор",34000
Пам'ятник одинарний,Дідковицький,granite,green,1000x600x80,Збільшений,"Елітна, скульптура й позолота",42000
Пам'ятник одинарний,Дідковицький,granite,green,1200x600x80,Преміум,"Проста форма, гравіювання напису",21500
Пам'ятник одинарний,Дідковицький,granite,green,1200x600x80,Преміум,"Базова, портрет і напис",26000
Пам'ятник одинарний,Дідковицький,granite,green,1200x600x80,Преміум,"Стандартна, портрет і орнамент",30500
Пам'ятник одинарний,Дідковицький,granite,green,1200x600x80,Преміум,"Складна, різьблення й декор",36500
Пам'ятник одинарний,Дідковицький,granite,green,1200x600x80,Преміум,"Елітна, скульптура й позолота",45500
Пам'ятник одинарний,Токівський,granite,brown,800x450x80,Економ,"Проста форма, гравіювання напису",17000
Пам'ятник одинарний,Токівський,granite,brown,800x450x80,Економ,"Базова, портрет і напис",20500
Пам'ятник одинарний,Токівський,granite,brown,800x450x80,Економ,"Стандартна, портрет і орнамент",24000
Пам'ятник одинарний,Токівський,granite,brown,800x450x80,Економ,"Складна, різьблення й декор",29000
Пам'ятник одинарний,Токівський,granite,brown,800x450x80,Економ,"Елітна, скульптура й позолота",36000
Пам'ятник одинарний,Токівський,granite,brown,1000x500x80,Стандарт,"Проста форма, гравіювання напису",19000
Пам'ятник одинарний,Токівський,granite,brown,1000x500x80,Стандарт,"Базова, портрет і напис",23000
Пам'ятник одинарний,Токівський,granite,brown,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",27000
Пам'ятник одинарний,Токівський,granite,brown,1000x500x80,Стандарт,"Складна, різьблення й декор",32000
Пам'ятник одинарний,Токівський,granite,brown,1000x500x80,Стандарт,"Елітна, скульптура й позолота",40500
Пам'ятник одинарний,Токівський,granite,brown,1000x600x80,Збільшений,"Проста форма, гравіювання напису",20000
Пам'ятник одинарний,Токівський,granite,brown,1000x600x80,Збільшений,"Базова, портрет і напис",24500
Пам'ятник одинарний,Токівський,granite,brown,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",29000
Пам'ятник одинарний,Токівський,granite,brown,1000x600x80,Збільшений,"Складна, різьблення й декор",34500
Пам'ятник одинарний,Токівський,granite,brown,1000x600x80,Збільшений,"Елітна, скульптура й позолота",43500
Пам'ятник одинарний,Токівський,granite,brown,1200x600x80,Преміум,"Проста форма, гравіювання напису",22000
Пам'ятник одинарний,Токівський,granite,brown,1200x600x80,Преміум,"Базова, портрет і напис",26500
Пам'ятник одинарний,Токівський,granite,brown,1200x600x80,Преміум,"Стандартна, портрет і орнамент",31500
Пам'ятник одинарний,Токівський,granite,brown,1200x600x80,Преміум,"Складна, різьблення й декор",37500
Пам'ятник одинарний,Токівський,granite,brown,1200x600x80,Преміум,"Елітна, скульптура й позолота",47000
Пам'ятник одинарний,Берестовецький,granite,black,800x450x80,Економ,"Проста форма, гравіювання напису",17000
Пам'ятник одинарний,Берестовецький,granite,black,800x450x80,Економ,"Базова, портрет і напис",20500
Пам'ятник одинарний,Берестовецький,granite,black,800x450x80,Економ,"Стандартна, портрет і орнамент",24000
Пам'ятник одинарний,Берестовецький,granite,black,800x450x80,Економ,"Складна, різьблення й декор",29000
Пам'ятник одинарний,Берестовецький,granite,black,800x450x80,Економ,"Елітна, скульптура й позолота",36000
Пам'ятник одинарний,Берестовецький,granite,black,1000x500x80,Стандарт,"Проста форма, гравіювання напису",19000
Пам'ятник одинарний,Берестовецький,granite,black,1000x500x80,Стандарт,"Базова, портрет і напис",23000
Пам'ятник одинарний,Берестовецький,granite,black,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",27000
Пам'ятник одинарний,Берестовецький,granite,black,1000x500x80,Стандарт,"Складна, різьблення й декор",32500
Пам'ятник одинарний,Берестовецький,granite,black,1000x500x80,Стандарт,"Елітна, скульптура й позолота",40500
Пам'ятник одинарний,Берестовецький,granite,black,1000x600x80,Збільшений,"Проста форма, гравіювання напису",20500
Пам'ятник одинарний,Берестовецький,granite,black,1000x600x80,Збільшений,"Базова, портрет і напис",25000
Пам'ятник одинарний,Берестовецький,granite,black,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",29000
Пам'ятник одинарний,Берестовецький,granite,black,1000x600x80,Збільшений,"Складна, різьблення й декор",35000
