code,slug,name,type_label,deposit,material,color,cx,price_now,price_std,delta_pct
043,sad-pamiati,Сад Пам'яті,Меморіальний комплекс,Лабрадорит (Горбулівський),labradorite,black,standartna,112000,125500,12
044,teple-sertse,Тепле Серце,Меморіальний комплекс,Габро (Головинське),gabbro,black,standartna,116000,121000,4
045,opivnichnyi-spokii,Опівнічний Спокій,Меморіальний комплекс,Дідковицький,granite,green,bazova,103000,107500,4
046,obiimy-anhela,Обійми Ангела,Меморіальний комплекс,Габро (Букинське),gabbro,black,skladna,145000,151000,4
047,dvi-stykhii,Дві Стихії,Меморіальний комплекс,Лабрадорит (Добринський),labradorite,black,standartna,107000,123500,15
048,promin,Промінь,Меморіальний комплекс,Лабрадорит (Горбулівський),labradorite,black,skladna,120000,150500,25
049,lileia,Лілея,Меморіальний комплекс,Танський,granite,grey,standartna,113000,125000,11
050,rozpiattia,Розп'яття,Меморіальний комплекс,Лезниківський,granite,red,skladna,118000,152000,29
051,spohad,Спогад,Меморіальний комплекс,Габро (Головинське),gabbro,black,bazova,101000,103000,2
052,rodynnyi-sad,Родинний Сад,Меморіальний комплекс,Габро (Букинське),gabbro,black,standartna,114000,126000,11
053,svitanok-nad-kamenem,Світанок над Каменем,Меморіальний комплекс,Маславський,granite,green,bazova,105000,110500,5
054,khvylia,Хвиля,Меморіальний комплекс,Лабрадорит (Добринський),labradorite,black,bazova,100000,105000,5
055,spokii,Спокій,Меморіальний комплекс,Лабрадорит (Горбулівський),labradorite,black,standartna,109000,125500,15
056,kvitnyk,Квітник,Меморіальний комплекс,Габро (Головинське),gabbro,black,prosta,98000,85000,-13
057,anhel-okhoronets,Ангел-Охоронець,Меморіальний комплекс,Габро (Букинське),gabbro,black,elitna,159000,188500,19
058,bahriane-rozpiattia,Багряне Розп'яття,Меморіальний комплекс,Лабрадорит (Добринський),labradorite,black,standartna,112000,123500,10
059,chervone-i-chorne,Червоне і Чорне,Меморіальний комплекс,Лабрадорит (Горбулівський),labradorite,black,standartna,106000,125500,18
060,vichna-slava,Вічна Слава,Військовий пам'ятник,Габро (Головинське),gabbro,black,standartna,175000,190000,9
061,smuha-svitla,Смуга Світла,Меморіальний комплекс,Габро (Букинське),gabbro,black,bazova,99000,107000,8
062,skorbota,Скорбота,Меморіальний комплекс,Лабрадорит (Добринський),labradorite,black,skladna,129000,148000,15
063,anhel-svitla,Ангел Світла,Меморіальний комплекс,Лабрадорит (Горбулівський),labradorite,black,skladna,143000,150500,5
